index,Date,Latitude,Longitude,Magnitude
524,09/15/1966,-60.256,-26.922,6.2
525,09/15/1966,22.924,121.507,6.2
526,09/18/1966,27.775,54.227,5.7
527,09/25/1966,18.261,-100.985,6.0
528,09/26/1966,27.419,92.576,5.9
529,09/28/1966,27.412,100.103,6.3
530,10/07/1966,-21.558000000000003,170.59599999999998,6.9
531,10/07/1966,61.58,-150.126,5.6
532,10/08/1966,-16.654,-177.27900000000002,6.1
533,10/11/1966,-60.354,-26.485,6.1
534,10/12/1966,-11.793,121.601,6.0
535,10/12/1966,-31.241,-177.747,5.8
536,10/16/1966,29.734,142.66899999999998,5.7
537,10/16/1966,-56.111,-27.62,5.7
538,10/17/1966,-10.665,-78.22800000000001,8.1
539,10/19/1966,-1.571,-15.611,7.0
540,10/26/1966,-18.319000000000003,167.58,5.7
541,10/27/1966,22.232,145.97799999999998,6.7
542,10/29/1966,38.796,21.242,5.9
543,11/03/1966,19.102,-67.878,6.0
544,11/05/1966,-15.37,-175.109,6.4
545,11/10/1966,-31.973000000000003,-68.301,6.1
546,11/11/1966,52.141000000000005,-169.158,5.6
547,11/12/1966,-23.822,-67.863,5.6
548,11/12/1966,41.746,144.389,6.0
549,11/12/1966,-15.681,167.25799999999998,6.3
550,11/13/1966,17.042,-61.885,5.6
551,11/22/1966,48.019,146.857,5.9
552,11/22/1966,-57.964,-25.518,5.8
553,11/23/1966,-14.851,167.051,5.9
554,11/26/1966,-25.563,-70.497,5.7
555,11/28/1966,6.6,-82.74600000000001,5.6
556,12/01/1966,-13.954,167.045,6.8
557,12/02/1966,3.2510000000000003,128.174,5.7
558,12/07/1966,44.475,151.655,5.9
559,12/10/1966,14.351,-91.963,5.7
560,12/10/1966,-3.424,145.703,6.3
561,12/14/1966,-4.928,144.05,6.3
562,12/15/1966,21.487,94.322,5.7
563,12/16/1966,29.535,80.82300000000001,5.7
564,12/20/1966,-26.123,-63.152,6.3
565,12/20/1966,37.3021667,-116.40833329999998,5.62
566,12/21/1966,-19.98,169.834,6.3
567,12/23/1966,-7.039,148.256,6.6
568,12/27/1966,37.126,141.202,5.6
569,12/28/1966,-25.494,-70.55,7.7
570,12/29/1966,-32.838,-111.783,5.6
571,12/31/1966,-12.091,166.55200000000002,7.8
572,12/31/1966,-12.326,166.491,7.1
573,01/01/1967,-15.237,-173.608,6.5
574,01/01/1967,-11.2,165.416,5.9
575,01/02/1967,-10.187,28.424,5.6
576,01/02/1967,-12.347,166.22099999999998,6.0
577,01/03/1967,-11.093,165.668,6.1
578,01/03/1967,-11.112,165.53599999999997,5.6
579,01/03/1967,-12.376,166.47299999999998,5.8
580,01/04/1967,20.318,120.114,5.6
581,01/04/1967,10.880999999999998,-62.33,5.5
582,01/05/1967,48.168,103.036,7.0
583,01/05/1967,48.477,103.021,5.8
584,01/05/1967,48.04,103.013,5.9
585,01/06/1967,41.878,143.482,5.9
586,01/06/1967,-1.461,126.477,5.6
587,01/07/1967,-48.873000000000005,112.803,6.0
588,01/07/1967,11.854,142.866,5.7
589,01/11/1967,-0.149,120.033,5.7
590,01/11/1967,33.989000000000004,45.738,6.1
591,01/13/1967,-10.515,161.406,6.2
592,01/16/1967,-11.248,165.623,6.0
593,01/17/1967,-27.335,-63.20399999999999,6.2
594,01/17/1967,38.244,142.15200000000002,6.6
595,01/18/1967,56.56399999999999,120.947,5.5
596,01/18/1967,52.565,-168.50099999999998,5.9
597,01/19/1967,-11.903,166.49400000000003,5.9
598,01/20/1967,48.105,103.064,6.4
599,01/21/1967,-49.917,-114.881,6.3
600,01/23/1967,19.973,-109.129,6.0
601,01/24/1967,41.5,142.2,5.7
602,01/24/1967,-0.922,-21.081,6.5
603,01/25/1967,36.715,71.625,6.0
604,01/28/1967,52.45,-169.60299999999998,6.8
605,01/28/1967,52.288,-169.35299999999998,5.6
606,01/28/1967,52.242,-169.468,5.8
607,01/30/1967,26.107,96.115,5.6
608,01/31/1967,2.619,-84.363,5.6
609,02/02/1967,-57.94,-25.663,6.1
